Authors	Title	Year	Abstract	Author Keywords	Page start	Page end	Page count	Source	!	D	I1	I2	I3a	I3b	I3c	I3d	I3e
Ziemek T.R.	Two-D or not two-D: Gender implications of visual cognition in electronic games	2006	Are there repercussions from 3D graphics being used in the majority of current video games? This research investigates whether the use of 2D and 3D graphics in video games affect the extent of how attracted a male is to playing an electronic game versus how attracted a female is. Published research indicates males outperform women in 3D virtual environments; this research illustrates that gender has an influence on how attracted an individual is to an electronic game. Over the course of two weeks participants took part in a study to assess whether 2D and 3D video games attract females and males differently. A multimethod (quantitative and qualitative) research design was used analogous to that of Sedig et al. [2001]. Data collection included various measures and approaches for cross-validation. Results indicate that if an electronic game is to appeal to the majority of female players, the game should be 2D, easy, and fun; if the game is to appeal to the majority of male players, the game should be 3D, challenging, and fun. © 2006 ACM.	3D navigation; Computer games; Games studies; Gender effects; Spatial abilities; Video games	183	190	7	Scopus			X	?	O	O	O		
Payne J.; Keir P.; Elgoyhen J.; McLundie M.; Naef M.; Horner M.; Anderson P.	Gameplay issues in the design of spatial 3D gestures for video games	2006	We describe preliminary tests that form the first phase of research into issues involved with the design of spatial 3D gestures for video games. Early research on 3D gesture and spatial interaction was largely the domain of Virtual Reality (VR) [1]. More recent work looks at 3D gestures for mobile devices [2] and pervasive computing [3]. We are investigating issues affecting usability and fun [4] in the context of 3D gestures and spatial movement in video games where emotion, immediacy and immersion are more important than breadth of functionality and user task efficiency. These tests use our 3motion™ system, a wireless inertial motion tracking device and gesture SDK. This enables a range of gesture types from tight, precise movements to whole arm gestures, and from direct mapping of movement to recognition of 3D symbolic gestures. Four game scenarios using different spatial gesture characteristics were used to identify gameplay issues that have an impact on the design of 3D interaction.	3D gestures; Fun; Physical gaming; Spatial interaction; Videogames	1217	1222	5	Scopus			X1	O	O	O	O		
Burns K.	EVE's entropy: A formal gauge of fun in games	2007	Fun is the force that drives play in games. Therefore a science of fun is needed to engineer games that are engaging for players, including the design of software agents that play against and along with human beings in computer games. EVE′ is a computational theory, based on a psychological progression of Expectations (E), Violations (V) and Explanations (E′) that in turn evoke emotional responses known as fun or flow. Here EVE′ is developed for the case of gambling games, specifically slot machines, deriving a Bayesian-information measure of aesthetic utility that is not modeled by the economic utility of previous proposals like Prospect Theory. The derivation shows how aesthetic utility can be measured by entropy and how fun can be seen as a form of learning. EVE's contribution lies in going beyond classical economics and computational intelligence to analyze the aesthetics of enjoyment and engagement - towards a science of fun. © 2007 Springer-Verlag Berlin Heidelberg.		153	173	20	Scopus	!		O	O	O	O	O	O	O
Georgios N. Yannakakis and John Hallam	Feature Selection for Capturing the Experience of Fun	2007						SB1			O	O	O	O	O	O	O
C. Quinn	Hard Fun: Cognition and Emotion at Play	2007	Summary form only given. Is there any reason to believe that we really can blend fun and learning? And if so, can we do it systematically? In this talk, we will develop the alignment between learning and engagement, highlighting the synergy between cognitive and emotional elements that tell us that we should make learning 'hard fun'. Then we'll talk about the learning design process, and show how these elements can be developed during a systematic design process that yields deeply contextualized challenging practice. In short, why learning can be 'hard fun'. The result is an optimal balance that promises more meaningful learning and more engaging experiences!		4	4	0	IEEE			?	?	?	?	X		
J. Boden; K. Jegers; M. Lidstrom; C. Wiberg; M. Wiberg	Point or Click? Evaluation of Two Input Modalities for Mobile Entertainment	2007	Previous research in computer games have focused on user experience from the perspectives of game content, graphics, interactivity and underling game story while missing to address the effect of a certain input modality on the user experience. In this paper we report from two user studies that focus on players' experience and performance in relation to the use of two different input modalities for the same game and whether it changes the flow and gameplay in any way. The overall research was according to this whether a game can be more fun to play with a certain input modality? The paper presents the results from these studies and draws conclusions based on these data in relation to computer games and user experiences in the context of mobile game playing.	Computer games;user experience;input modalities;user study.	65	65	0	IEEE			?	?	?	?	X		
J. C. Yang; Y. H. Chen; C. H. Chen	PILE: Physical Interactive Learning Environment	2007	This study aims to design and develop a game-based English interactive learning environment using video-capture virtual reality technology. The system is designed for English teaching course in elementary school by physical body interaction. Two detection methods are used in the system, one is RGB color values detection, the other is gestures detection. There are six stages of learning activities are designed by integrating into English curriculum with specific tasks and learning objectives. In addition to operate the system by physical movement, students can also use various properties, such as pistol, x-ray searchlight, magnet, spray paint can, and conical cap. This is designed to improve the accuracy of detection, as well as to increase the fun during the learning process. The system also provides an interface for teachers to edit the teaching materials when they have different requirement for teaching. A preliminary study was conducted at an elementary school of 30 second grade class students. The data collected from the pre- and post- tests. The result shows that there are significant differences between the pre-test and the post-test (p=.031<;.05).		218	220	2	IEEE			?	?	?	?	X		
M. Sugimoto	What can Children Learn through Game-based Learning Systems?	2007	In this talk, the author presents key ideas and underlying philosophies of our research projects. He also describes about several systems for supporting children's collaborative learning, such as CarettaKids, T-RHYTHM, and so on. Lessons learned through the design and evaluation of these systems, and some thoughts for DIGITEL researches are discussed.		5	7	2	IEEE			?	?	?	?	X		
P. Mattila; J. Miettunen; T. Manninen	An approach to a virtual learning environment through a game	2007	The traditional notion of a learning environment has expanded to cover virtual spaces. Today, these extremely popular virtual learning environments are often network-based and readily accessible to a certain group of students. These considerations have inspired the present project that has produced a 3D virtual learning environment with the aim of providing a space for learning activities. The games designed for this space offer challenges the players try to solve as a team. They emphasize group work skills, group interaction, and cooperation in various conflict situations that have to be negotiated inside the virtual world. Historical information plays a key role in gameplay and thus the learning experience is integrated into the events of the games, making learning fun. The environment does not contain violent or destructive elements, and therefore it is suitable for children of all ages and both sexes.		185	187	2	IEEE			?	?	?	?	X		
S. H. Ab Hamid; L. Y. Fung	Learn Programming by Using Mobile Edutainment Game Approach	2007	The concept of edutainment or ''education and entertainment" is not new in a learning environment and its purpose is to make the learning process more enjoyable. This project integrated mobile game technology into a mobile learning system to make the learning process more fun and effective for its student end-users. The current generation prefers to spend time in front of the computer playing games instead of studying, so the project merged the technology so they can still play games but study at the same time. Even though mobile technology has many weaknesses (e.g., limited screen size), the project used this technology because it can be played anywhere, anytime, by any mobile device. The main end-users of the project are students or anyone who is learning the subject. For the time being, the project focuses on C++ programming as its domain. Basically, once a student executes the application, he or she can play the game by using C++ programming knowledge. The game starts by displaying a question. The player is represented by a small car that can shoot by using bullets. Within a time limit, the player must shoot the correct answer to a practical programming question. If the player shoots the wrong answer, the wrong answer will try to shoot the player back. The game was developed using J2ME as its development tool and Adobe Photoshop as its graphic design tool.		170	172	2	IEEE		X	?	?	?	?	X		
Ab Hamid S.H.; Leong Y.F.	Learn programming by using mobile edutainment game approach	2007	The concept of edutainment or "education and entertainment" is not new in a learning environment and its purpose is to make the learning process more enjoyable. This project integrated mobile game technology into a Mobile Learning system to make the learning process more fun and effective for its student end-users. The current generation prefers to spend time in front of the computer playing games instead of studying, so the project merged the technology so they can still play games but study at the same time. Even though mobile technology has many weaknesses (e.g., limited screen size), the project used this technology because it can be played anywhere, anytime, by any mobile device. The main end-users of the project are students or anyone who is learning the subject. For the time being, the project focuses on C++ programming as its domain. Basically, once a student executes the application, he or she can play the game by using C++ programming knowledge. The game starts by displaying a question. The player is represented by a small car that can shoot by using bullets. Within a time limit, the player must shoot the correct answer to a practical programming question. If the player shoots the wrong answer, the wrong answer will try to shoot the player back. The game was developed using J2ME as its development tool and Adobe Photoshop as its graphic design tool.___________________________ © 2007 IEEE.	Edutainment game; Mobile technology; Programming subject	170	172	2	Scopus			?	?	O	O	X		
Chang T.-H.; Ho C.-J.; Hsu J.Y.-J.	The PhotoSlap Game: Play to Annotate	2007	This paper presents PhotoSlap, an intelligent system for semantic annotation of photos. The system contains a semi-automatic face detector, a bulk annotation tool, and a multi-player online game, PhotoSlap. By exploring the design principles of gameplay and applying game theoretic analysis, PhotoSlap is designed as a fun and productive game, which adapts itself to different players to produce the desired output. Experiments involving four focus groups showed the game to be fun and effective in annotating people metadata for personal photo collections. Copyright © 2007, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.		1966	1967	1	Scopus			?	?	O	O	X		
Choi B.; Lee I.; Choi D.; Kim J.	Collaborate and share: An experimental study of the effects of task and reward interdependencies in online games	2007	Today millions of players interact with one another in online games, especially massively multiplayer online role-playing games (MMORPGs). These games promote interaction among players by offering interdependency features, but to date few studies have asked what interdependency design factors of MMORPGs make them fun for players, produce experiences of flow, or enhance player performance. In this study, we focused on two game design features: task and reward interdependency. We conducted a controlled experiment that compared the interaction effects of low and high task-interdependency conditions and low and high reward-interdependency conditions on three dependent variables: fun, flow, and performance. We found that in a low task-interdependency condition, players had more fun, experienced higher levels of flow, and perceived better performance when a low reward-interdependency condition also obtained. In contrast, in a high task-interdependency condition, all of these measures were higher when a high reward-interdependency condition also obtained. © Mary Ann Liebert, Inc.		591	595	4	Scopus			?	?	O	O	X		
Jenson J.; De Castell S.	Girls and gaming: Gender research, "progress" and the death of interpretation	2007	This paper is about the persistent absence of critical interpretation in work focused on gender and gameplay. Since its beginnings, research (and resulting practice) in this area has moved little if at all from the early work in the path-breaking Cassells and Jenkins volume dedicated to girls and gaming. In the currently very well-regarded and oft-cited volume on "girl- friendly" game design, Sheri Graner-Ray re-instates the gamut of gender stereotypes by now so familiar as to have become "canonical" for the field. In this paper we illustrate some theoretical, research, and practice dilemmas, and, drawing upon sophisticated interpretive work in gender studies and on socio-cultural approaches to research, we propose some tactics for rethinking the very terms and conditions of this by now clearly resilient orthodoxy about "what girls like best," arguing that until we are able to be surprised by its findings, we can be fairly confident that games studies research into gender accomplishes little beyond re-instating and further legitimating inequality of access, condition and opportunity. This is no game: no fun, and no fair. © 2007 Authors & Digital Games Research Association (DiGRA).	Game culture; Gameplay; Gender; Research; Sociology	769	771	2	Scopus			?	?	O	O	X		
Swain C.	Designing games to effect social change	2007	Serious games, persuasive games, news games - these are all terms used for games which let players gain an experiential understanding of real world issues through play. Many in this growing class of games deal with social causes; recent examples include Peacemaker, about solving Middle East peace, The Redistricting Game, about congressional redistricting and redistricting reform, and the online game series published by the New York Times that includes Food Import Folly (which is about the FDA limited inspection policy on U.S. food imports). The field has a number of good examples that let users learn about social issues, however, to date, the field is short on examples of games that achieve measurable results in the real world. This paper addresses issues of design, theory, and activism pertaining to games about social causes. The author is an experienced designer and scholar who deals with all three of these issues in his work. Here is an outline of best practices for designing games to affect social change. Each is discussed in detail below: 1. Define intended outcomes 2. Integrate subject matter experts 3. Partner with like-minded organizations 4. Build sustainable community 5. Embrace "wicked problems" 6. Maintain journalistic integrity 7. Measure transference of knowledge 8. Make it fun © 2007 Authors & Digital Games Research Association (DiGRA).	Design practice; Design theory; Game design; Games for change; Persuasive games	805	809	4	Scopus			?	?	O	O	X		
G. N. Yannakakis; J. Hallam	Game and Player Feature Selection for Entertainment Capture	2007	The notion of constructing a metric of the degree to which a player enjoys a given game has been presented previously. In this paper, we attempt to construct such metric models of children's 'fun' when playing the Bug Smasher game on the Playware platform. First, a set of numerical features derived from a child's interaction with the Playware hardware is presented. Then the sequential forward selection and the n-best feature selection algorithms are employed together with a function approximator based on an artificial neural network to construct feature sets and function that model the child's notion of 'fun' for this game. Performance of the model is evaluated by the degree to which the preferences predicted by the model match those expressed by the children in a survey experiment. The results show that an effective model can be constructed using these techniques and that the sequential forward selection method performs better in this task than n-best. The model reveals differing preferences for game parameters between children who react fast to game events and those who react slowly. The limitations and the use of the methodology as an effective adaptive mechanism to entertainment augmentation are discussed	Entertainment modeling;intelligent interactive playgrounds;neuro-evolution	244	251	7	IEEE	!		X						
H. Duin; M. Oliveira; A. Saffarpour	A simulation model for virtual manufacturing environments for serious games	2007	The objective of a serious game is to impart some knowledge and experience for a specific subject, whilst leveraging the â€œfunâ€ factor of games thereby ensuring user engagement. The European project PRIME develops such a game where the subject is â€œstrategic decision making in global manufacturingâ€. PRIME is a multi-user online serious game that allows the players to manage a business company that may be involved in some or all phases of a product lifecycle within the context of a global market. This paper describes the simulation model that drives the PRIME serious game. The simulation model is responsible to provide a believable virtual business environment in which the player's business companies can interact with each other and the virtual business environment.	Serious games;simulation;games;education in manufacturing	1	8	7	IEEE			X						
R. Morsi; E. Jackson	Playing and learning? Educational gaming for engineering education	2007	Educational gaming has spurred a surge of interest in the educational arena. There exists now a renewed interest in the science of gaming and its application to education. The idea of having curricular materials that are just as 'fun' and hard to put down as games are needed as well as intriguing. The design and development of this type of tool to contain important and solid educational content is in even greater need by educational professionals. It is common to see students spending endless hours playing games while the same is not imaginable studying for a test. Games are engaging and fun and it is worthwhile researching their use in education. They provide the ability to process information quickly, utilize parallel processing and visual processing techniques, improve data organization, critical thinking and problem solving skills. These are just a few skills gained through playing games. The purpose of this paper is to present gaming as an educational tool and its use in engineering education. The paper will present and review tools that can be used in the development of educational games as well as present the materials education game (MEG) environment, this is an environment that was developed for use in a materials science educational game. This environment uses the principles of gaming for teaching a core concept in materials engineering.	Educational gaming;game development;gaming engines;3DSMax	F2H-1	F2H-6		IEEE			X						
Bakker S.; Vorstenbosch D.; Van Den Hoven E.; Hollemans G.; Bergman T.	Tangible interaction in tabletop games: Studying iconic and symbolic play pieces	2007	In this paper, a study is described which investigates differences in game experience between the use of iconic and symbolic tangibles in digital tabletop interaction. To enable this study, a new game together with two sets of play pieces (iconic and symbolic) was developed and used in an experiment with 30 participants. In this experiment, the understanding of the game, the understanding of the play pieces and the fun experience were tested. Both the group who played with iconic play pieces and the group who played with symbolic play pieces were proven to have a comparable fun experience and understanding of the game. However, the understanding of the play pieces was higher in the iconic group and a large majority of both groups preferred to play with iconic play pieces rather then symbolic play pieces. Copyright 2007 ACM.	Interaction design; Pervasive games; Tabletop gaming; Tangible user interfaces	163	170	7	Scopus	!		X	?	O	O	O		
Gestwicki P.; Sun F.-S.	Game software and the design process	2007	We study the science of design through the processes of game design and software design. Both game design and software design require disciplined approaches to be successful, and a comparison of these processes reveals procedural symmetry despite differences of implementation. Game design is a creative process that aims to produce innovative and fun games, while software design reifies the game design. Without a good game design, the game will not be fun, and without a good software design, the game will not be functional. We present several case studies from courses on computer game software design. These studies justify and clarify the need for a balanced presentation of game and software design, where the goal of design education is a measurable increase in both. We propose a two-dimensional design space for studying game design and software design. Based on our case studies and experiences, we identify factors that tend to improve game or software design. We provide pedagogic suggestions that promote design education. This work motivates continued research on assessment of design education programs, especially in large-scale design projects where failure is a significant but costly learning experience. © CGU 2007.		362	378	16	Scopus			X	?	O	O	O		
Harteveld C.; Guimarães R.; Mayer I.; Bidarra R.	Balancing pedagogy, game and reality components within a unique serious game for training levee inspection	2007	This paper documents the design and development of a Flashbased Baroque music game, "Tafelkids: The Quest for Arundo Donax", focusing on the tension between constructing an online resource that an audience aged 8-14 would find fun and engaging, and the directive to include historical information and facts, as well as convey some of the sounds, musical structures and conventions of Baroque music, history and culture through play. We begin by contextualizing the game as a collaboration between our team of university-based researchers and the Tafelmusik Baroque Orchestra, two groups with quite different histories - and understandings - of educational media design. We introduce the problem of how to go about creating a media artifact that would "make public", in a compelling and playable way, key features of Baroque music. We then describe a design process in which we tried to bridge the representation of "expert knowledge" about Baroque music with some of the mechanics used in popular music-based games. A discussion of these particular challenges in designing a bridge from propositions to play, in effect digitally remediating, Baroque music education, concludes by addressing the broader epistemological question of what and how we may best learn, and learn best, from games and play. Copyright 2008 ACM.	Baroque music; Design-based research; Educational/serious games; Flash; Play and learning	128	139	11	Scopus			X						
Healy A.; Connolly T.	Does games-based learning, based on a constructivist pedagogy, enhance the learning experience and outcomes for the student compared to a traditional didactic pedagogy?	2007	While computer games have been phenomenally successful within the leisure industry with their inherent ability to motivate, engage and inspire, their application for educational purposes has had limited success and there remains a number of key challenges that need to be addressed to fully understand and demonstrate the applicability and limitations of this approach. As research and media coverage increases, the potential benefits of games-based learning (GBL) are becoming more apparent. A prime potential benefit of GBL is that game play can sustain skill development such as: Personal and Social Development, Language and Literacy, Mathematical Development and Creative Development. Additional benefits include; youth appeal, flexibility, motivation, engagement, real-time feedback, asynchronous learning, immersive and fun, and adaptable to individual learning needs. This paper reports on an experiment that compares GBL with a more traditional form of teaching at primary school level. The experiment involves a post-testing approach to a traditional lesson and a GBL lesson with school children aged between 9-10 years of age. Each test group comprised of 15 children. The selected game for the experiment was 'Moving Toy Mechanisms', which facilitates the learning of Design and Technology for QCA Key Stage 2 Unit 5c - Moving Toys. The results support the stance that GBL can benefit the learning experience and aid academic achievements. It has also validated the view that formal teaching and learning styles are beneficial in some areas of the curriculum, thus reinforcing the importance of a hybrid set of methods to improve the learning experience and academic achievements of learners.	Computer games; Games-based learning; Learning; Primary school	105	114	9	Scopus			X	?	O	O	O		
Walz S.P.; Ballagas R.	Pervasive persuasive: A rhetorical design approach to a location-based spell-casting game for tourists	2007	REXplorer is a pervasive game service launching in June 2007. The game aims at persuading on site tourists to explore and enjoy the history of the UNESCO world heritage city core of Regensburg, Germany. In the game, historical and mythological spirits are stationed at touristic points of interest throughout the mostly Gothic and Romanesque city core of Regensburg. Players rent a special "paranormal activity detector" - a device composed of a mobile phone and a GPS receiver in a custom designed shell - at Regensburg's tourist information. Players interact with the location-based and site-specific spirits by performing a gesture, i.e. by waving the wandlike detector through the air in a specified fashion, thus "casting a spell". Situated gestures allow players to evoke and communicate with spirits to receive and resolve quests. With their detector, players can also take pictures, which appear on each player's individually generated souvenir, a weblog. The weblog also maps a player's route, describes spirits a player has encountered, and lists books and deepening URLs for each character and site. In this paper, we focus on the rhetorical approach behind REXplorer, and discuss exemplary formal and dramaturgical persuasive design tactics. These tactics, we believe, can not only help to make "serious" activities such as city exploration and history learning fun and sustainable, but also influence player behavior during pervasively computed and situated gameplay. © 2007 Authors & Digital Games Research Association (DiGRA).	Game rhetoric; Persuasive technology; Pervasive game design; Serious games; Situated gameplay	489	497	8	Scopus			X	?	O	O	O		
Yim J.; Graham T.C.N.	Using games to increase exercise motivation	2007	In recent years, there has been significant work in integrating physical activity into video games. One goal of this work has been to help motivate sedentary people to be more physically active. Konami's Dance Dance Revolution and Nintendo's Wii Sports have shown that exercise games can be both fun and commercially successful. To date, however, there has been little attempt to investigate what properties of exercise games will help motivate sedentary people to start and continue exercise programs. This paper reviews the literature on exercise motivation and derives from it requirements for computer-aided exercise games. The paper then introduces the new Life is a Village exercise game, and uses it to illustrate how these requirements can be met. Copyright 2007 ACM.	computer-aided exercise; computer-supported cooperative work; exertion interfaces; video game design	166	173	7	Scopus			X	?	O	O	O		
Cheng H.N.H.; Deng Y.-C.; Chang S.-B.; Chan T.-W.	EduBingo: Design of multi-level challenges of a digital classroom game	2007	Some researches suggest that Well-designed computer games can facilitate children's learning and motivation on mathematics [11, 17]. To sustain the fun in playing a learning game, according to the concept of flow", students need a series of challenges to match their developing skills. This paper addresses two design questions: 1) How to transform a popular game into an educational game? 2) How to design multi-level challenges to sustain fun for practicing arithmetic in that game? In this paper, the game rules of Bingo are modified to design a competitive computer game, called EduBingo, for practicing arithmetic in a classroom. Based on our previous works and surveys of several digital games, four dimensions of challenges are identified for devising such educational games. A trail test was conducted to preliminarily evaluate the game's effects on learning, and, in particular, the influences of different dimensions of challenges on practice. © 2007 IEEE.		11	18	7	Scopus			X1	O	O	O	O		
Frank A.	Balancing three different foci in the design of serious games: Engagement, training objective and context	2007	Serious games aim to be both fun and playable games but at the same time be useful for a non-entertainment purpose. This poses an interesting challenge to the design process; how can we ensure that the design allows both for fun and engagement while at the same time fulfilling the non-entertainment purpose? The game design for educational games (a branch of serious games) is dependent on the topic (training objective) and under what circumstances the game will be used. We propose a pragmatic design approach where three design goals are maintained simultaneously: (1) to create an engaging game, (2) to properly cater for the training objective, and (3) to allow the training context surrounding the game to influence design decisions. We will go through a range of design issues and show how the three design goals are interdependent and how a balanced design can fulfill all three. For instance, the training objective may impede a straightforward design of rules and goals. The training context will have an affect how the challenges are constructed and the way learning through games can be carried out. To illustrate this approach the design process of Foreign Ground, a serious game for training, is presented and discussed. © 2007 Authors & Digital Games Research Association (DiGRA).	Design; Educational games; Engagement; Serious games	567	574	7	Scopus			X1	O	O	O	O		
Kam M.; Rudraraju V.; Tewari A.; Canny J.	Mobile gaming with children in rural India: Contextual factors in the use of game design patterns	2007	Poor literacy remains a barrier to economic empowerment in the developing world. We make the case that "serious games" can make an impact for these learners and highlight that much remains to be learned about designing engaging gameplay experiences for children living in rural areas. Our approach revolves around game design patterns, which are building blocks that can inform game designs. We argue that patterns are beneficial because they facilitate the reuse of existing knowledge about successful games, and can capture contextual information such as domain applicability that has evolve through iterative testing. We describe the design of three mobile games based on patterns and report on a field experiment with rural children in India that evaluated these games against games that were not designed with patterns. We found that patterns are decontextualized design tools that can both help and hinder good designs. We distill lessons on the contextual factors that designers must consider when using patterns to design for this user group. These factors include designing for fun by focusing on the gameplay process and not only the winning conditions, and taking the power structure in local communities into consideration in the game designs. © 2007 Authors & Digital Games Research Association (DiGRA).	Design pattern; Developing world; India; Mobile game	292	301	9	Scopus			X1	O	O	O	O		
H. N. H. Cheng; Y. -C. Deng; S. -B. Chang; T. -W. Chan	EduBingo: Design of Multi-level Challenges of a Digital Classroom Game	2007	Some researches suggest that well-designed computer games can facilitate children's learning and motivation on mathematics (Klawe, 1998 and Randel et al., 1992). To sustain the fun in playing a learning game, according to the concept of "flow", students need a series of challenges to match their developing skills. This paper addresses two design questions: 1) How to transform a popular game into an educational game? 2) How to design multi-level challenges to sustain fun for practicing arithmetic in that game? In this paper, the game rules of Bingo are modified to design a competitive computer game, called EduBingo, for practicing arithmetic in a classroom. Based on our previous works and surveys of several digital games, four dimensions of challenges are identified for devising such educational games. A trail test was conducted to preliminarily evaluate the game's effects on learning, and, in particular, the influences of different dimensions of challenges on practice.		11	18	7	IEEE		X							
N. Beume; H. Danielsiek; C. Eichhorn; B. Naujoks; M. Preuss; K. Stiller; S. Wessing	Measuring flow as concept for detecting game fun in the Pac-Man game	2008	Popular games often have a high-quality graphic design but quite simple-minded non player characters (NPC). Recently, Computational Intelligence (CI) methods have been discovered as suitable methods to revive NPC, making games more interesting, challenging, and funny. We present a fairly large study of human players on the simple arcade game Pac-Man, controlling the ghosts behaviors by simple strategies, neural networks or evolutionary algorithms. The playerpsilas fun is of course a subjective experience, but we presume that it is related to the psychological flow concept. We deal with the question whether flow is a more reliable measure than asking human players directly for the fun experienced during the game. In order to detect flow, we introduce a measure based on the interaction time fraction between the human-controlled Pac-Man and the ghosts, and compare the outcome to the results of a fun measure suggested by Yannakakis and Hallam [1].		3448	3455	7	IEEE	!!!		O	O	O	O	O	O	O
Lindley C.A.; Nacke L.; Sennersten C.C.	Dissecting play - Investigating the cognitive and emotional motivations and affects of computer gameplay	2008	All games are cognitive learning environments. A cognitive approach to understanding games and gameplay emphasises the analysis and understanding of these learning functions and how game design features facilitate them. The experience of gameplay is one of interacting with a game design in the performance of cognitive tasks, with a variety of emotions arising from or associated with different elements of motivation, task performance and completion. Psychophysiological techniques provide empirical methods for investigating play that provide a foundation for developing plausible models of what those cognitive decision processes are, how they relate to design features and how emotions integrated with task performance lead to rewards of play, creating an experience of 'fun'. © 2008 The University of Wolverhampton.		9	16	7	Scopus			X1	O	O	O	O	O	O
Chehimi F,Coulton P	Motion controlled mobile 3D multiplayer gaming	2008	Due to limitations in the user interface one of the oft cited most desirable features for mobile games is that they can be played using a single button. However, games using this type of control are extremely difficult to design and thus far it has been primarily utilized for casual games. As a number of mobile phones are starting to appear with accelerometers, mobile game developers have the opportunity to investigate new interaction mechanisms and as this paper we illustrate how accelerometers can greatly simplify the interaction for 3D graphical action games. In particular we present the design and user trials for a novel motion controlled 3D Bluetooth multiplayer space game. The results show that this experience is seen as fun and much more intuitive for gamers and non-gamers alike.	3D, games, interface, mobile, multiplayer, phones	267	270	4	ACMDL		X	?	?	?	?	X		
GonÃ§alves D,Jesus R,Grangeiro F,RomÃ£o T,Correia N	Tag around: a 3D gesture game for image annotation	2008	Manual annotation is difficult to perform in large image databases and the automatic methods deliver results that are far from what is desired by the users. New and fun ways to provide image annotation are required. This paper describes Tag Around, a computer game for image tagging. The application is based on a 3D game interface, a game engine that uses a system for automatic image classification and gestural input to play the game. We present the game, how it is used to improve image annotation, the design principles of the interface and the usability tests that were carried out in order to validate the application.	computer games, gesture based interface, image annotation	259	262	4	ACMDL		X	?	?	?	?	X		
Callele D.; Neufeld E.; Schneider K.	Emotional requirements	2008	Imagine that you're a software developer working on a video game. One morning, your boss comes in and says, "Make sure the new game is fun or we're all out of a job! Our last game just got savaged by the reviewers!" Now, what can you as a developer do to help make this happen? Like a movie director instructing the technical crew on implementing nuanced set design, lighting, sound, and acting, a game development team must work together to implement the game designer's vision. We introduced emotional requirements to assist game developers with this task. Just as with functional requirements, emotional requirements have attributes that you must describe and model, and those attributes sometimes require careful balancing. © 2008 IEEE.	Emotional requirements; Game design; Requirements; Specification	43	45	2	Scopus			?	?	O	O	X		
